"ANNUAL_REPORT_YEAR","WDID","REGION","REG_MEAS_STATUS","LAST_UPDATED_ON","SSS_CATEGORY","POP_SERVED","X._ENTRY_STAFF","X._JOURNEY_STAFF","X._SUPERVISORY_STAFF","X._MANAGERIAL_STAFF","X._CERTIFIED_GRADE_I","X._CERTIFIED_GRADE_II","X._CERTIFIED_GRADE_III","X._CERTIFIED_GRADE_IV","X._CERTIFIED_GRADE_V","X._CERTIFIED_CSUS","OTHER_CERTIFICATIONS","MILES_FORCED_MAINS","MILES_GRAVITY_SEWERS","X.6IN_OR_LESS_GRAVITY_MAIN","X.8IN_GRAVITY_MAIN","X.9.18IN_GRAVITY_MAIN","X.19.36IN_GRAVITY_MAIN","X.36IN_GREATER_GRAVITY_MAIN","X.UNK_DIAM_GRAVITY_MAIN","X.TOT_GRAVITY_MAIN","X.6IN_OR_LESS_FORCE_MAIN","X.8IN_FORCE_MAIN","X.9.18IN_FORCE_MAIN","X.19.36IN_FORCE_MAIN","X.36IN_GREATER_FORCE_MAIN","X.UNK_FORCE_MAIN","X.TOT_FORCE_MAIN","X._CONNECTED_LATERALS","X._LATERALS_OWNED_OPERATED","PORTIONS_LATERAL_RESPONSIBLE","MILES_LATERAL_RESPONSIBLE","X.GRAVITY_MAIN_2020.PRESENT","X.GRAVITY_MAIN_2000.2019","X.GRAVITY_MAIN_1980.1999","X.GRAVITY_MAIN_1960.1979","X.GRAVITY_MAIN_1940.1959","X.GRAVITY_MAIN_1920.1939","X.GRAVITY_MAIN_1900.1919","X.GRAVITY_MAIN_BEFORE_1900","X.GRAVITY_MAIN_UNKNOWN_AGE","X.GRAVITY_MAIN_TOTAL","X.PUMP_75000_GAL.DAY_OR_OVER_2020.PRESENT","X.PUMP_75000_GAL.DAY_OR_OVER_2000.2019","X.PUMP_75000_GAL.DAY_OR_OVER_1980.1999","X._PUMP_75000_GAL.DAY_OR_OVER_1960.1979","X.PUMP_75000_GAL.DAY_OVER_1940.1959","X.PUMP_75000_GAL.OR_OVER_1920.1939","X.PUMP_75000_GAL.DAY_OR_OVER_1900.1919","X.PUMP_75000_GAL.DAY_OR_OVER_BEFORE_1900","X.PUMP_75000_GAL.DAY_OR_OVER_UNKNOWN_AGE","X.PUMP_75000_GAL.DAY_OR_OVER_TOTAL","X.PUMP_UNDER_75000_GAL.DAY_2020.NOW","X.PUMP_UNDER_75000_GAL.DAY_2000.2019","X.PUMP_UNDER_75000_GAL.DAY_1980.1999","X.PUMP_UNDER_75000_GAL.DAY_UNDER_1960.1979","X.PUMP_UNDER_75000_GAL.DAY_1940.1959","X.PUMP_UNDER_75000_GAL.DAY_1920.1939","X.PUMP_UNDER_75000_GAL.DAY_1900.1919","X.PUMP_UNDER_75000_GAL.DAY_BEFORE_1900","X.PUMP_UNDER_75000_GAL.DAY_UNKNOWN_AGE","X.PUMP_UNDER_75000_GAL.DAY_TOTAL","EST_MILES_NOT_ACCESSIBLE","MILES_CLEANED","MILES_INSPECTED","FIRST_ROW_TREATMENT_PLANT_WDID","FIRST_ROW_NAME_ADDRESS","FIRST_ROW_RELATIONSHIP","SECOND_ROW_TREATMENT_PLANT_WDID","SECOND_ROW_NAME_ADDRESS","SECOND_ROW_RELATIONSHIP","THIRD_ROW_TREATMENT_PLANT_WDID","THIRD_ROW_NAME_ADDRESS","THIRD_ROW_RELATIONSHIP","FOURTH_ROW_TREATMENT_PLANT_WDID","FOURTH_ROW_NAME_ADDRESS","FOURTH_ROW_RELATIONSHIP","SATELLITE_TRIBUTARY_SYSTEMS","FIRST_ROW_TRIBUTARY_SYSTEM_OWNED","FIRST_ROW_TRIBUTARY_SYSTEM_NAME","FIRST_ROW_COLLECTION_SYSTEM_WDID","SECOND_ROW_TRIBUTARY_SYSTEM_OWNED","SECOND_ROW_TRIBUTARY_SYSTEM_NAME","SECOND_ROW_COLLECTION_SYSTEM_WDID","THIRD_ROW_TRIBUTARY_SYSTEM_OWNED","THIRD_ROW_TRIBUTARY_SYSTEM_NAME","THIRD_ROW_COLLECTION_SYSTEM_WDID","FOURTH_ROW_TRIBUTARY_SYSTEM_OWNED","FOURTH_ROW_TRIBUTARY_SYSTEM_NAME","FOURTH_ROW_TREATMENT_PLANT_WDID.1","FIFTH_ROW_TRIBUTARY_SYSTEM_OWNED","FIFTH_ROW_TRIBUTARY_SYSTEM_NAME","FIFTH_ROW_TREATMENT_PLANT_WDID","INFO_ADDITIONAL_TRIBUTARY_SYSTEMS","X.GRAVITY_MAINLINE_AERIAL_OR_UNDER_GROUND_CROSSINGS","X.FORCE_MAINLINE_AERIAL_OR_UNDER_GROUND_CROSSINGS","X._SIPHONS","SYSTEM_PERFORMANCE_EVAL_ATTACHED","SPILL_EMERGENCY_RESPONSE_PLAN_UPDATED","MAJOR_SPILL_CAUSES","SPILL_CAUSES_OTHER_DESC","FAILURE_POINTS","FAILURE_POINTS_OTHER_DESC","ONGOING_SPILL_INVESTIGATIONS","ACTIONS_TAKEN_TO_ADDRESS_DEFICIENCIES","X"
2023,"3SSO10315","3",616,"25-MAR-24","Other",10500,0,1,0,1,0,0,0,1,0,1,"",0,7,90,5,5,0,0,0,100,0,0,0,0,0,0,0,7,7,"Upper and Lower",7,0,0,8,92,0,0,0,0,0,100,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7,2,"WDID","City of Watsonville, Watsonville, CA 95076","WWTP same agency","","","","","","","","","","N","","","","","","","","","","","","","","","","",2,0,1,"N","Y","Damage by Others Not Related to Collection System Construction/Maintenance","","Manhole","","None","None",NA
2023,"6SSO18106","6A",616,"11-APR-24","Municipal(Public)",2400,1,2,1,0,1,0,0,1,0,2,"",0,6.4,1,30,63,6,0,0,100,0,0,0,0,0,0,100,287,287,"Lower only",1,20,80,0,0,0,0,0,0,0,100,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,"100%","Herlong PUD 448-805 Pole Line Rd, Herlong","WWTP same agency","","","","","","","","","","N","","","","","","","","","","","","","","","","",0,0,0,"","Y","Root Intrusion","","Upper Lateral","","NONE","New infrastructure",NA
2023,"8SSO10542","8",616,"03-APR-24","Municipal(Public)",344461,4,8,2,4,3,1,1,0,0,0,"Two (2) NASSCO PACP Certified Employees",0,560,20,30,25,25,0,0,100,0,0,0,0,0,0,0,94000,0,"None",0,1,4,22,40,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,40,"8SSO10574","Garden Grove City CS, 13802  Newhope Street, Garden Grove, CA 92843 ","SSS other agency","8SSO10640","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP other agency","","","WWTP other agency","","","","Y","N","City of Buena Park","8SSO10546","N","City of Placentia","8SSO10593","N","City of Fullerton","8SSO20044","","","","","","","",10,1,144,"Y","Y","Debris-wipes/Non-disposables","","Gravity Mainline","",NA,"Ongoing capital improvement program and sanitary sewer studies.  Ongoing as-needed point repairs as identified during CCTV inspections and / or preventative maintenance activities.",NA
2023,"8SSO10574","8",616,"29-MAR-24","Municipal(Public)",172652,0,10,1,1,4,3,2,1,0,1,"n/a",3,328,2,80,14,4,0,0,100,10,90,0,0,0,0,100,37100,0,"None",0,2,4,2,20,67,5,0,0,0,100,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,170,9,"8SSO10640","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP same agency","","","","","","","","","","N","","","","","","","","","","","","","","","","n/a",0,0,60,"Y","Y","Fats, Oil and Grease (FOG)","n/a","Gravity Mainline","n/a","No ongoing spill investigations.","A Capital Improvement Plan was developed in accordance with findings contained in the District’s System Evaluation and Capacity Assurance Plan (SECAP) and its Sewer System Rehabilitation Plan. The Sewer System Rehabilitation Plan is an ongoing, multi-year effort of inspecting and evaluating the condition of the entire sewer system. The sewer system was first inspected and evaluated (in phases) between 2005 and 2012. In 2017 the District continued the Rehabilitation Plan in order to re-inspect and re-evaluate the entire sewer system. Phase I of the Rehabilitation Plan was completed in 2017-2018. Phase II of the Rehabilitation Plan was completed in 2021-2022. Phase III is planned for later this year. As part of the Capital Improvement Plan, an ongoing schedule of improvements at various site locations are in progress to address system capacity and deficiencies. This will decrease sewer overflows and enable development throughout the City. ",NA
2024,"8SSO10574","8",616,"13-NOV-25","Municipal(Public)",172652,2,7,2,1,5,3,2,1,0,1,"N/A",3,328,2,80,14,4,0,0,100,10,90,0,0,0,0,100,371000,0,"None",0,2,4,2,20,67,5,0,0,0,100,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,152.7,19.2,"8 300112001","Groundwater Replenishment System - Advanced WTF, 18700  Ward Street, Fountain Valley, CA 92708-6930 ","WWTP other agency","","","","","","","","","","N","","","","","","","","","","","","","","","","N/A",0,0,60,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Gravity Mainline","N/A","No ongoing spill investigations.","The District is in the process of updating its Sewer Master Plan. The Master Plan will evaluate existing flows, re-evaluate previously recommended but unconstructed projects identified as deficient, and project future flow conditions.   The objective of the updated Sewer Master Plan is to evaluate the system’s capacity to accommodate future flow conditions including additional wastewater flow from the accessory dwelling units and the SB9 housing requirements. The Master Plan will also assess the impact of inflow and infiltration flow on the system. Additionally, the sewer hydraulic model will be updated and calibrated using flow data collected by monitoring devices. Other tasks will include assessments of the force mains and the suction and discharge pipes at the three lift stations.  The Sewer Master Plan will become the District’s new planning document describing improvement needs and expenditures for the next 20 years.",NA
2025,"8SSO10574","8",616,"26-MAR-26","Municipal(Public)",172608,2,7,2,1,4,3,2,1,0,1,"N/A",3,328,2,79,18,1,0,0,100,10,90,0,0,0,0,100,371000,0,"None",0,2,4,2,20,67,5,0,0,0,100,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,291.8,110.7,"8 300112001","Groundwater Replenishment System - Advanced WTF, 18700  Ward Street, Fountain Valley, CA 92708-6930 ","WWTP other agency","","","","","","","","","","N","","","","","","","","","","","","","","","","N/A",0,0,21,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Gravity Mainline","N/A","No ongoing spill investigations.","The District is nearing completion of an update to its Sewer Master Plan. The Master Plan update will evaluate existing flows, re-evaluate previously recommended but unfinished projects identified as deficient, and project future flow conditions.   The objective of the updated Sewer Master Plan is to evaluate the system's capacity to accommodate future flow conditions including additional wastewater flow from the accessory dwelling units and the SB9 housing requirements. The Master Plan will also assess the impact of inflow and infiltration flow on the system. Additionally, the sewer hydraulic model will be updated and calibrated using flow data collected by monitoring devices. Other tasks will include assessments of the force mains and the suction and discharge pipes at the three District lift stations. The Sewer Master Plan will become the District's new planning document describing improvement needs and expenditures for the next 20 years. ",NA
2023,"8SSO10602","8",616,"02-APR-24","Municipal(Public)",311000,2,12,2,1,4,8,1,0,0,8,NA,0,389,21,57,20,2,0,0,100,0,0,0,0,0,0,0,45902,0,"None",0,1,5,6,44,29,12,2,0,1,100,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,111,0,"8SSO10640 ","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP same agency","","","","","","","","","","N","Y","Garden Grove City","8SSO10574 ","Y","Orange City","8SSO10591","","","","","","","","","",NA,0,0,45,"Y","Y","Fats, Oil and Grease (FOG)",NA,"Manhole",NA,NA,"Ongoing sewer cleaning, CCTV inspections, and sewer capacity evaluations.",NA
2024,"8SSO10602","8",616,"30-MAR-26","Municipal(Public)",311000,2,10,2,1,2,10,1,1,0,0,"N/A",0,392,21,57,20,2,0,0,100,0,0,0,0,0,0,0,46077,0,"None",0,1,5,6,44,29,12,2,0,1,100,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,266,266,"8303536001","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP other agency","","","","","","","","","","N","Y","CITY OF GARDEN GROVE","8SSO10574","Y","CITY OF ORANGE","8SSO10591","","","","","","","","","","N/A",0,0,45,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Manhole","N/A","N/A","Ongoing Sewer Maintenance (Cleaning) CCTV Inspection Services Sewer Capacity Evaluations",NA
2025,"8SSO10602","8",616,"30-MAR-26","Municipal(Public)",311000,2,10,2,1,2,10,1,1,0,0,"N/A",0,392,21,57,20,2,0,0,100,0,0,0,0,0,0,0,46077,0,"None",0,1,5,6,44,29,12,2,0,1,100,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,325,325,"8303536001","ORANGE COUNTY SANITATION DISTRICT","WWTP other agency","","","","","","","","","","N","Y","CITY OF GARDEN GROVE","8SSO10574","Y","CITY OF ORANGE","8SSO10591","","","","","","","","","","N/A",0,0,45,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Manhole","N/A","N/A","Ongoing Sewer Maintenance (Cleaning) CCTV Inspection Services Sewer Capacity Evaluations",NA
2023,"8SSO10590","8",616,"04-APR-24","Municipal(Public)",83411,2,9,1,1,4,2,1,1,0,0,"",5,318,20,70,10,0,0,0,100,100,0,0,0,0,0,100,25525,25525,"Lower only",121,0,10,15,40,20,10,0,0,5,100,0,0,0,0,0,0,0,0,0,0,0,2,3,8,4,2,0,0,1,20,1,160,7,"8sso10590","Newport Beach City CS,949 W 16th ST, Newport Beach, CA 92658 ","WWTP other agency","","","","","","","","","","Y","N","Costa Mesa Sanitary District, 290 Paulorino Ave. Costa Mesa CA","8SSO10566","","","","","","","","","","","","","",4,7,4,"Y","Y","Root Intrusion","Grease deposits. Wipes. Construction debris.","Gravity Mainline","","No","CCTV investigations. Emergency repairs. CIP Repairs. Upgraded  cleaning schedule.",NA
2024,"8SSO10590","8",616,"26-MAR-25","Municipal(Public)",83411,2,9,1,1,1,7,1,1,0,0,"N/A",5,318,20,70,10,0,0,0,100,100,0,0,0,0,0,100,25525,25525,"Lower only",121,0,10,15,40,20,10,0,0,5,100,0,0,0,0,0,0,0,0,0,0,0,2,3,8,5,2,0,0,1,21,1,205.4,17,"8 300110002","001,    , CA  ","WWTP other agency","","","","","","","","","","Y","N","Costa Mesa Sanitary District, 290 Paulorino Ave. Costa Mesa, CA","8SSO10566","","","","","","","","","","","","","N/A",4,7,4,"Y","Y","Root Intrusion","Debris, F.O.G., Non-Disposable Wipes. ","Gravity Mainline","N/A","None","CCTV investigations, Visual inspections, Emergency repairs, CIP projects, Pipe lining, constantly updating our cleaning and maintenance schedule. ",NA
2025,"8SSO10590","8",616,"17-MAR-26","Municipal(Public)",83411,1,8,1,1,1,6,1,1,0,0,"N/A",5,318,20,70,10,0,0,0,100,99,1,0,0,0,0,100,25525,25525,"Lower only",121,0,10,15,40,20,10,0,0,5,100,0,1,1,2,1,1,0,0,0,6,0,1,2,6,4,1,0,0,1,15,1,232,26,"8 300110002","001,    , CA  ","WWTP other agency","","","","","","","","","","Y","N","Costa Mesa Sanitary District, 290 Paulorino Ave. Costa Mesa, CA","8SSO10566","","","","","","","","","","","","","N/A",4,7,4,"Y","Y","Root Intrusion","F.O.G., Non-disposable wipes, debris.","Gravity Mainline","N/A","None","CCTV inspections, man hole inspections, CIP projects, Mainline and lateral lining, mainline and lateral cleaning, lift station maintenance, maintenance of our 21 wet wells, and making repairs as needed.",NA
2024,"8SSO10605","8",616,"11-DEC-25","Municipal(Public)",39000,3,2,2,1,0,0,0,0,0,0,"Sanitary Sewer is maintenance is contracted out.",0,50.5,1,78,20,1,0,0,100,0,0,0,0,0,0,0,3000,7,"None",1,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,10,"8 300110002","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP other agency","","","","","","","","","","N","","","","","","","","","","","","","","","","",0,0,14,"N","Y","Fats, Oil and Grease (FOG)","","Gravity Mainline","","No on-going spill investigations","Routine cleaning and maintenance, FOG inspections, and Sewer Rehabilitation Projects per Sewer Master Plan.",NA
2025,"8SSO10605","8",616,"17-MAR-26","Municipal(Public)",39000,2,5,1,2,0,0,0,0,0,0,"Sanitary Sewer maintenance is contracted out.",0,50.5,1,78,20,1,0,0,100,0,0,0,0,0,0,0,3000,7,"None",1,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0,"8303536001","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP other agency","","","","","","","","","","N","","","","","","","","","","","","","","","","",0,0,14,"","Y","Fats, Oil and Grease (FOG)","","Gravity Mainline","","No on-going spill investigations","Routine cleaning and maintenance, FOG inspections, and Sewer Rehabilitation Projects per Sewer Master Plan.",NA
2023,"8SSO10545","8",616,"22-DEC-25","Municipal(Public)",46791,0,6,1,1,0,0,0,0,0,0,"N/A",0,100,5,86,8,1,0,0,100,0,0,0,0,0,0,0,11540,0,"None",0,0,15,20,50,10,5,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,106,65,"8SSO10545","City of Brea 545 N. Berry St. Brea, CA  ","SSS same agency","8SSO10573","Fullerton City CS, 1580 West Commonwealth Avenue, Fullerton, CA 92833 ","SSS other agency","8SSO10593","Placentia City CS, 401 East Chapman Avenue, Placentia, CA 92670 ","SSS other agency","8 300110002 ","001,    , CA  ","WWTP other agency","N","","","","","","","","","","","","","","","","N/A",4,0,1,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Manhole","N/A","None","N/A",NA
2024,"8SSO10545","8",616,"26-MAR-25","Municipal(Public)",48479,3,1,1,1,0,0,0,0,0,0,"N/A",0,135,5,86,8,1,0,0,100,0,0,0,0,0,0,0,11540,0,"None",0,0,15,20,50,10,5,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,132,25,"8SSO10545","City of Brea 545 N. Berry St. Brea, CA  ","SSS same agency","8SSO10573","Fullerton City CS, 1580 West Commonwealth Avenue, Fullerton, CA 92833 ","SSS other agency","8SSO10593","Placentia City CS, 401 East Chapman Avenue, Placentia, CA 92670 ","SSS other agency","8SSO10640","Orange County Sanitation  10844 Ellis Avenue Fountain Valley, CA 92708","SSS other agency","N","","","","","","","","","","","","","","","","N/A",4,0,2,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Manhole","N/A","N/A","N/A",NA
2025,"8SSO10545","8",616,"24-FEB-26","Municipal(Public)",47994,2,2,1,1,0,0,0,0,0,0,"N/A",0,135,5,86,8,1,0,0,100,0,0,0,0,0,0,0,11540,0,"None",0,0,15,20,50,10,5,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,160,20,"8SSO10545","City of Brea 545 N. Berry St. Brea, CA  ","SSS same agency","8SSO10573","Fullerton City CS, 1580 West Commonwealth Avenue, Fullerton, CA 92833 ","SSS other agency","8SSO10593","Placentia City CS, 401 East Chapman Avenue, Placentia, CA 92670 ","SSS other agency","8SSO10640","Orange County Sanitation  10844 Ellis Avenue Fountain Valley, CA 92708","WWTP other agency","N","","","","","","","","","","","","","","","","N/A",4,0,2,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Manhole","N/A","N/A","N/A",NA
2023,"8SSO10546","8",616,"20-MAR-24","Municipal(Public)",81998,2,2,0,1,0,1,1,1,0,0,"Staff order study material through OWP CSUS and attended CWEA TCP prep sessions to prepare and take/pass certification.",0,168,7,80,13,0,0,0,100,0,0,0,0,0,0,0,12554,0,"None",0,0,14,3,17,58,7,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,41,"8SSO10640","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP other agency","","","","","","","","","","N","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,0,0,9,"","Y","Other (specify below)","If we have a spill the cause typically is FOG in siphon, or if we had a spill from the main generally is roots/fog. ","Siphon",NA,NA,"For our siphon locations we clean quarterly and have installed smartcover systems on all siphon locations. We have also eliminated three siphons from our collection system.",NA
2024,"8SSO10546","8",616,"25-MAR-25","Municipal(Public)",81998,3,1,0,1,1,1,1,1,0,0,"N/A",0,168,7,80,13,0,0,0,100,0,0,0,0,0,0,0,12554,0,"None",0,0,14,3,17,58,7,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,"8SSO10640","Orange County Sanitation District 10844 Ellis Ave. Fountain Valley, CA 92708","WWTP other agency","","","","","","","","","","N","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,0,0,9,"Y","Y","Fats, Oil and Grease (FOG)","We have had no major spills. If we have a spill the cause typically is fog in siphon, or if we had a spill from the main gravity sewer generally is roots. But we have since mitigated both issues by installing smartcover systems on all siphons and have implemented a root control program in house.","Siphon","We have pro actively implemented annual CIP projects related to infrastructure maintenance by utilizing CIPP & UV Lining systems (10,000' to 18,000') per fiscal year. We also have a CIP project for manhole rehab on an annual basis  rehabbing (50 to 135) manhole structures per fiscal year.","NONE","For our siphons/EMA (enhanced maintenance areas) we clean quarterly.",NA
2025,"8SSO10546","8",616,"02-MAR-26","Municipal(Public)",81998,1,3,0,1,1,1,1,1,0,0,"N/A",0,168,7,80,13,0,0,0,100,0,0,0,0,0,0,0,12554,0,"None",0,0,14,3,17,58,7,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,33.6,"8SSO10640","Orange County Sanitation District 10844 Ellis Ave. Fountain Valley, CA 92708","WWTP other agency","","","","","","","","","","N","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"N/A",0,0,9,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Siphon","N/A","NONE","Siphons are cleaned quarterly and also have smartcovers associated with them at each siphon location.",NA
2023,"8SSO10552","8",616,"02-APR-24","Municipal(Public)",49243,0,4,2,2,0,0,0,0,0,0,"N/A",1,101,1,97,1,1,0,0,100,0,100,0,0,0,0,100,12000,0,"None",0,0,5,19,64,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,51,20,"N/A","Orange County Sanitation District","WWTP other agency","","","","","","","","","","N","Y","City of Cypress","8SSO10552","Y","City of Cypress ","8SSO10552","Y","City of Cypress ","8SSO10552","Y","City of Cypress ","8SSO10552","Y","City of Cypress ","8SSO10552","6. City of Cypress 8SSO10552  7. City of Cypress 8SSO10552 8. City of Cypress 8SSO10552 9. City of Cypress 8SSO10552 10. City of Cypress 8SSO10552",0,0,0,"Y","Y","Fats, Oil and Grease (FOG)","NONE","Other (specify below)","NONE","NONE","Ongoing routine maintenance, cleaning, inspection, and capital projects to reline and/or replace condition and capacity deficient pipes.  ",NA
2025,"8SSO10552","8",616,"24-MAR-26","Municipal(Public)",49243,0,4,2,2,0,0,0,0,0,0,"N/A",1,101,1,97,1,1,0,0,100,0,100,0,0,0,0,100,12000,0,"None",0,0,5,19,64,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,5,20,"N/A","Orange County Sanitation District","WWTP other agency","","","","","","","","","","N","Y","City of Cypress","8SSO10552","Y","City of Cypress","8SSO10552","Y","City of Cypress","8SSO10552","Y","City of Cypress","8SSO10552","Y","City of Cypress","8SSO10552","6. City of Cypress 8SSO10552  7. City of Cypress 8SSO10552 8. City of Cypress 8SSO10552 9. City of Cypress 8SSO10552 10. City of Cypress 8SSO10552",0,0,0,"Y","Y","Fats, Oil and Grease (FOG)","NONE","Other (specify below)","NONE","NONE","Ongoing routine maintenance, cleaning, inspection, and capital projects to reline and/or replace condition and capacity deficient pipes.  ",NA
2023,"8SSO10572","8",616,"28-MAR-24","Municipal(Public)",57000,0,3,2,2,2,1,2,1,0,0,"N/A",0,133,2,85,8,5,0,0,100,0,0,0,0,0,0,0,16500,312,"None",0,1,5,5,89,0,0,0,0,0,100,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,82,22,"8SSO10640","Orange Cnty Sanitation Dist CS,    , CA  ","WWTP other agency","8SSO10578","Huntington Beach City CS, 19001  Huntington Street, Huntington Beach, CA 92648-2211 ","SSS other agency","8SSO10588","Midway City SD CS,    , CA  ","SSS other agency","","","","N","N","N/A","N/A","N","N/A","N/A","N","N/A","N/A","N","N/A","N/A","N","N/A","N/A","No",7,0,11,"Y","Y","Fats, Oil and Grease (FOG)","","Gravity Mainline","","N/A","Ongoing main line repair, replacement, or Lining CIP projects. On-going manhole coating CIP projects as well as Proactive maintenance and inspection. ",NA
2024,"8SSO10572","8",616,"08-OCT-25","Municipal(Public)",57000,1,3,2,2,2,1,3,1,0,0,"N/A",0,133,1,89,9,1,0,0,100,0,100,0,0,0,0,100,16500,312,"None",0,1,3,44,50,1,1,0,0,0,100,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,73.2,10.2,"8 300110002","OCSAN Treatment Plant #1, CA  ","WWTP other agency","","","","","","","","","","N","N","N/A","N/A","N","N/A","N/A","N","N/A","N/A","N","N/A","N/A","N","N/A","N/A","NO",7,0,11,"Y","Y","Fats, Oil and Grease (FOG)","","Gravity Mainline","","N/A","CIP MANHOLES REHAB REPLACEMENT OR COATING, CIP PROJECT ON DEFICIENCY SEWER MAIN LINES, PREVENTATIVE MAINTENANCE, PROACTIVE INSPECTIONS.",NA
2025,"8SSO10572","8",616,"23-MAR-26","Municipal(Public)",58000,1,3,3,2,3,0,2,2,0,0,"N/A",0,133,1,89,9,1,0,0,100,0,100,0,0,0,0,100,16500,312,"None",0,1,3,44,50,1,1,0,0,0,100,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,81.5,10.3,"8 300110002","001,    , CA  ","WWTP other agency","8SSO10578","Huntington Beach City CS, 19001  Huntington Street, Huntington Beach, CA 92648-2211 ","SSS other agency","8SSO10588","Midway City SD CS,    , CA  ","SSS other agency","","","","N","N","N/A","N/A","N","N/A","N/A","N","N/A","N/A","N","N/A","N/A","N","N/A","N/A","NO",7,0,11,"Y","Y","Fats, Oil and Grease (FOG)","N/A","Gravity Mainline","N/A","N/A","CIP MANHOLES REHAB REPLACEMENT OR COATING, CIP PROJECT ON DEFFIICIIENCY SEWER MAIIN LINES, PREVENTTATIIVE MAINTENANCE, PROACTIVE INSPECTIONS.",NA
2023,"8SSO20044","8",616,"25-MAR-24","Municipal(Public)",141620,3,9,0,1,4,1,0,1,0,5,"No other.",0,330,5,80,13,2,0,0,100,0,0,0,0,0,0,0,29096,54,"None",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,66,"8 300110002","OC Sanitation District 10844 Elllis Ave, Fountain Valley, CA 92708","SSS same agency","","","","","","","","","","Y","N","City of Anaheim","8SSO10542","N","City of Brea","8SSO10545","N","City of La Habra","8SSO10583","N","City of Placentia","8SSO10593","","","","We only have four tributary systems.",23,0,33,"N","Y","Other (specify below)","We had no spills this past year.","Other (specify below)","We had no spills this past year.","We have no ongoing spill investigation.","We CCTV our system every five years and all deficiencies are looked at and added to our CIP list for repairs or sections to be replaced. When we have a spill, it is our procedure to follow up with a CCTV inspection. If repairs are needed, we follow up with our on-call contractor or with Engineering to have the sewer main repaired.  If no repairs are needed, we will place that section on our Special Project list. That list is cleaned monthly or every 3,6,9 0r 12 months. ",NA
